Date, Close/Last, Volume, Open, High, Low
08/14/2020, $1650.71, 12577610, $1664.99, $1668.8, $1626.64
08/13/2020, $1621, 20425310, $1611, $1651.18, $1567.26
08/12/2020, $1554.76, 21898830, $1470, $1585, $1435
08/11/2020, $1374.39, 8625834, $1396, $1420, $1365
08/10/2020, $1418.57, 7522264, $1448, $1457.5, $1385.84
08/07/2020, $1452.71, 8896420, $1499.537, $1499.75, $1415.01
08/06/2020, $1489.58, 5992313, $1490.83, $1517.31, $1477.26
08/05/2020, $1485.02, 4978015, $1492.99, $1499.8384, $1468.31
08/04/2020, $1487, 8414990, $1495.01, $1527.41, $1462
08/03/2020, $1485, 8809346, $1449.2, $1509.8101, $1444.3844
07/31/2020, $1430.76, 12246960, $1515, $1517.05, $1420.98
07/30/2020, $1487.49, 7621039, $1488, $1513.24, $1471
07/29/2020, $1499.11, 9426893, $1501, $1534.81, $1487
07/28/2020, $1476.49, 15808700, $1504, $1564.7, $1474.42
07/27/2020, $1539.6, 16048670, $1435, $1547.94, $1413.0003
07/24/2020, $1417, 19396620, $1416.01, $1465, $1366.5401
07/23/2020, $1513.07, 24328500, $1678.95, $1689, $1480.77
07/22/2020, $1592.33, 14161080, $1599, $1626.42, $1562
07/21/2020, $1568.36, 16157280, $1639.93, $1675, $1558
07/20/2020, $1643, 17121370, $1519.01, $1650, $1488
07/17/2020, $1500.84, 9329972, $1513.45, $1537.51, $1490
07/16/2020, $1500.64, 14300790, $1477.16, $1531.71, $1466
07/15/2020, $1546.01, 16367830, $1543, $1550, $1457
07/14/2020, $1516.8, 23418140, $1556, $1590, $1431
07/13/2020, $1497.06, 38985360, $1659, $1794.99, $1471.1101
07/10/2020, $1544.65, 23337550, $1396, $1548.915, $1376.0101
07/09/2020, $1394.28, 11717600, $1396.99, $1408.56, $1351.28
07/08/2020, $1365.88, 16311310, $1405, $1417.26, $1311.34
07/07/2020, $1389.86, 21489660, $1405.01, $1429.5, $1336.71
07/06/2020, $1371.58, 20569860, $1276.69, $1377.79, $1266.044
07/02/2020, $1208.66, 17250120, $1221.48, $1228, $1185.6
07/01/2020, $1119.63, 13326900, $1083, $1135.33, $1080.5
06/30/2020, $1079.81, 16918500, $1006.5, $1087.69, $1003.73
06/29/2020, $1009.35, 9026404, $969.01, $1010, $948.5201
06/26/2020, $959.74, 8854908, $994.78, $995, $954.87
06/25/2020, $985.98, 9254549, $954.27, $985.98, $937.15
06/24/2020, $960.85, 10959590, $994.11, $1000.8846, $953.1414
06/23/2020, $1001.78, 6365271, $998.88, $1012, $994.0101
06/22/2020, $994.32, 6362350, $999.95, $1008.88, $990.02
06/19/2020, $1000.9, 8679749, $1012.78, $1015.9699, $991.34
06/18/2020, $1003.96, 9751936, $1003, $1019.2, $994.4708
06/17/2020, $991.79, 9890800, $987.71, $1005, $982.571
06/16/2020, $982.13, 14051080, $1011.85, $1012.88, $962.39
06/15/2020, $990.9, 15697180, $917.79, $998.84, $908.5
06/12/2020, $935.28, 16763370, $980, $987.98, $912.6
06/11/2020, $972.84, 15916480, $990.2, $1018.9599, $972
06/10/2020, $1025.05, 18563410, $991.88, $1027.48, $982.5
06/09/2020, $940.67, 11388150, $940.01, $954.4399, $923.931
06/08/2020, $949.92, 14174730, $919, $950, $909.16
06/05/2020, $885.66, 7811917, $877.84, $886.52, $866.2
06/04/2020, $864.38, 8887713, $889.88, $895.75, $858.44
06/03/2020, $882.96, 7949469, $888.12, $897.94, $880.1
06/02/2020, $881.56, 13565600, $894.7, $908.66, $871
06/01/2020, $898.1, 15085300, $858, $899, $854.1
05/29/2020, $835, 11812490, $808.75, $835, $804.21
05/28/2020, $805.81, 7275774, $813.51, $824.75, $801.69
05/27/2020, $820.23, 11549530, $820.86, $827.71, $785
05/26/2020, $818.87, 8089736, $834.5, $834.6, $815.705
05/22/2020, $816.88, 9987475, $822.174, $831.78, $812
05/21/2020, $827.6, 12254580, $816, $832.5, $796
05/20/2020, $815.56, 7309271, $820.5, $826, $811.8
05/19/2020, $808.01, 9636522, $815.17, $822.07, $806.08
05/18/2020, $813.63, 11698100, $827.78, $834.7201, $803.88
05/15/2020, $799.17, 10518430, $790.35, $805.0486, $786.552
05/14/2020, $803.33, 13682190, $780, $803.36, $764
05/13/2020, $790.96, 19065490, $820.83, $826, $763.3
05/12/2020, $809.41, 15906910, $827, $843.29, $808
05/11/2020, $811.29, 16519600, $790.51, $824, $785
05/08/2020, $819.42, 16130090, $793.77, $824, $787.01
05/07/2020, $780.04, 11527690, $777.21, $796.4, $772.35
05/06/2020, $782.58, 11123230, $776.5, $789.8, $761.11
05/05/2020, $768.21, 16991660, $789.79, $798.92, $762.18
05/04/2020, $761.19, 19237090, $701, $762, $698
05/01/2020, $701.32, 32531810, $755, $772.77, $683.04
04/30/2020, $781.88, 28471850, $855.19, $869.82, $763.5
04/29/2020, $800.51, 16215980, $790.17, $803.1999, $783.16
04/28/2020, $769.12, 15221960, $795.64, $805, $756.69
04/27/2020, $798.75, 20681440, $737.61, $799.49, $735
04/24/2020, $725.15, 13237610, $710.81, $730.73, $698.18
04/23/2020, $705.63, 13236700, $727.6, $734, $703.13
04/22/2020, $732.11, 14224830, $703.98, $734, $688.71
04/21/2020, $686.72, 20209090, $730.12, $753.33, $673.79
04/20/2020, $746.36, 14746370, $732.7, $765.57, $712.21
04/17/2020, $753.89, 13128230, $772.28, $774.95, $747.66
04/16/2020, $745.21, 20657860, $716.94, $759.45, $706.715
04/15/2020, $729.83, 23577000, $742, $753.13, $710
04/14/2020, $709.89, 30576510, $698.97, $741.88, $692.43
04/13/2020, $650.95, 22475420, $590.16, $652, $580.53
04/09/2020, $573, 13650000, $562.09, $575.1818, $557.11
04/08/2020, $548.84, 12656020, $554.2, $557.2081, $533.33
04/07/2020, $545.45, 17919780, $545, $565, $532.34
04/06/2020, $516.24, 14901840, $511.2, $521, $497.96
04/03/2020, $480.01, 22562080, $509.5, $515.49, $468.3901
04/02/2020, $454.47, 19858430, $481.03, $494.2599, $446.4
04/01/2020, $481.56, 13353180, $504, $513.9548, $475.1
03/31/2020, $524, 17771490, $501.25, $542.96, $497
03/30/2020, $502.13, 11998070, $510.26, $516.6471, $491.23
03/27/2020, $514.36, 14377410, $505, $525.8, $494.03
03/26/2020, $528.16, 17422080, $547.39, $560, $512.25
03/25/2020, $539.25, 21222750, $545.25, $557, $511.11
03/24/2020, $505, 22895170, $477.3, $513.69, $474
03/23/2020, $434.29, 16454550, $433.6, $441.9999, $410.5
03/20/2020, $427.53, 28285500, $438.2, $477, $425.79
03/19/2020, $427.64, 30195460, $374.697, $452, $358.46
03/18/2020, $361.22, 23786160, $389, $404.86, $350.51
03/17/2020, $430.2, 23994580, $440.01, $471.85, $396
03/16/2020, $445.07, 20489460, $469.4997, $494.8699, $442.17
03/13/2020, $546.62, 22640250, $595, $607.57, $502
03/12/2020, $560.55, 18909050, $580.89, $594.5, $546.25
03/11/2020, $634.23, 13413590, $640.2, $653.58, $613
03/10/2020, $645.33, 15594440, $659.43, $668, $608
03/09/2020, $608, 17073740, $605.39, $662.998, $605
03/06/2020, $703.48, 12662920, $690.004, $707, $684.27
03/05/2020, $724.54, 10852660, $723.77, $745.75, $718.07
03/04/2020, $749.5, 15048980, $763.9603, $766.52, $724.7345
03/03/2020, $745.51, 25784000, $805, $806.98, $716.1106
03/02/2020, $743.62, 20194990, $711.26, $743.69, $686.67
02/28/2020, $667.99, 24564170, $629.7, $690.52, $611.52
02/27/2020, $679, 24277160, $730, $739.77, $669
02/26/2020, $778.8, 14153840, $782.5, $813.31, $776.11
02/25/2020, $799.91, 17290480, $849, $856.6, $787
02/24/2020, $833.79, 15192160, $839, $863.5, $822.2
02/21/2020, $901, 14339450, $906.98, $913.06, $880.45
02/20/2020, $899.41, 17634890, $911.95, $912, $859.94
02/19/2020, $917.42, 25422960, $923.5, $944.78, $901.02
02/18/2020, $858.4, 16698370, $841.6, $860, $832.36
02/14/2020, $800.03, 15693710, $787.22, $812.97, $785.5
02/13/2020, $804, 26289350, $741.84, $818, $735
02/12/2020, $767.29, 12022470, $777.87, $789.75, $763.37
02/11/2020, $774.38, 11697470, $768.79, $783.5061, $758
02/10/2020, $771.28, 24689160, $800, $819.99, $752.4
02/07/2020, $748.07, 17063520, $730.55, $769.75, $730
02/06/2020, $748.96, 39880750, $699.92, $795.83, $687
02/05/2020, $734.7, 48423840, $823.26, $845.98, $704.1106
02/04/2020, $887.06, 60938760, $882.96, $968.9899, $833.88
02/03/2020, $780, 47233500, $673.69, $786.14, $673.52
01/31/2020, $650.57, 15719270, $640, $653, $632.52
01/30/2020, $640.81, 29005680, $632.42, $650.88, $618
01/29/2020, $580.99, 18216670, $575.69, $589.7999, $567.43
01/28/2020, $566.9, 11788490, $568.49, $576.81, $558.08
01/27/2020, $558.02, 13608070, $541.99, $564.44, $539.28
01/24/2020, $564.82, 14353600, $570.63, $573.86, $554.26
01/23/2020, $572.2, 19651040, $564.25, $582, $555.6027
01/22/2020, $569.56, 31369030, $571.89, $594.5, $559.1
01/21/2020, $547.2, 17803470, $530.25, $548.58, $528.41
01/17/2020, $510.5, 13629070, $507.61, $515.6699, $503.16
01/16/2020, $513.49, 21736650, $493.75, $514.46, $492.17
01/15/2020, $518.5, 17368830, $529.76, $537.84, $516.7853
01/14/2020, $537.92, 29061380, $544.255, $547.41, $524.9
01/13/2020, $524.86, 26634550, $493.5, $525.63, $492
01/10/2020, $478.15, 12976830, $481.79, $484.94, $473.7
01/09/2020, $481.34, 28463190, $497.1, $498.8, $472.87
01/08/2020, $492.14, 31199390, $473.7, $498.49, $468.23
01/07/2020, $469.06, 18209140, $461.4, $471.63, $453.355
01/06/2020, $451.54, 10157500, $440.47, $451.56, $440
01/03/2020, $443.01, 17794700, $440.5, $454, $436.92
01/02/2020, $430.26, 9558386, $424.5, $430.6957, $421.71
12/31/2019, $418.33, 10292460, $405, $421.29, $402.08
12/30/2019, $414.7, 12601270, $428.79, $429, $409.2589
12/27/2019, $430.38, 9956827, $435, $435.31, $426.11
12/26/2019, $430.94, 10648290, $427.91, $433.48, $426.35
12/24/2019, $425.25, 8054720, $418.36, $425.47, $412.6875
12/23/2019, $419.22, 13332820, $411.78, $422.01, $410
12/20/2019, $405.59, 14785210, $410.29, $413, $400.185
12/19/2019, $404.04, 18120310, $397.32, $406.85, $396.5
12/18/2019, $393.15, 14136390, $380.63, $395.22, $380.58
12/17/2019, $378.99, 8503775, $378.99, $385.5, $375.9
12/16/2019, $381.5, 18220940, $362.55, $383.61, $362.5
12/13/2019, $358.39, 6574281, $361.05, $365.21, $354.64
12/12/2019, $359.68, 7776211, $354.92, $362.74, $353.23
12/11/2019, $352.7, 6919162, $351.8765, $357.1899, $351.09
12/10/2019, $348.84, 8839951, $339.96, $350.73, $339.31
12/09/2019, $339.53, 9040217, $336.59, $344.45, $335.08
12/06/2019, $335.89, 7618937, $335, $338.86, $334.77
12/05/2019, $330.37, 3736976, $332.83, $334.4227, $327.25
12/04/2019, $333.03, 5536255, $337.75, $337.86, $332.85
12/03/2019, $336.2, 6613476, $332.62, $337.91, $332.186
12/02/2019, $334.87, 6081986, $329.4, $336.3827, $328.687
11/29/2019, $329.94, 2465629, $331.11, $331.26, $327.5
11/27/2019, $331.29, 5563459, $331.12, $333.93, $328.57
11/26/2019, $328.92, 7956239, $335.27, $335.5, $327.1
11/25/2019, $336.34, 12345770, $344.32, $344.57, $334.46
11/22/2019, $333.04, 16870640, $340.16, $341, $330
11/21/2019, $354.83, 6110013, $354.51, $360.84, $354.0039
11/20/2019, $352.22, 6733965, $360, $361.2, $349.57
11/19/2019, $359.52, 7736078, $351.75, $359.99, $347.8
11/18/2019, $349.99, 4408505, $352.917, $353.15, $346.1
11/15/2019, $352.17, 4812563, $350.64, $352.8, $348.36
11/14/2019, $349.35, 6471703, $346.11, $353.84, $342.91
11/13/2019, $346.11, 8467863, $355, $356.33, $345.18
11/12/2019, $349.93, 7359383, $346.9, $350.37, $344.04
11/11/2019, $345.09, 9993689, $343.95, $349.19, $342
11/08/2019, $337.14, 6074221, $334.5, $337.46, $332.5
11/07/2019, $335.54, 14467350, $329.14, $341.5, $328.02
11/06/2019, $326.58, 7940932, $318, $326.72, $314.5
11/05/2019, $317.22, 6943417, $319.62, $323.51, $316.118
11/04/2019, $317.47, 8787040, $314.8, $321.94, $309.26
11/01/2019, $313.31, 6383929, $316.32, $316.48, $309.8
10/31/2019, $314.92, 5066956, $313.1, $319, $313
10/30/2019, $315.01, 9641810, $313, $318.79, $309.97
10/29/2019, $316.22, 12684270, $319.99, $324.3, $314.75
10/28/2019, $327.71, 18870290, $327.54, $340.84, $322.6
10/25/2019, $328.13, 30006090, $297.72, $330, $296.11
10/24/2019, $299.68, 29819230, $298.37, $304.93, $289.2
10/23/2019, $254.68, 11216180, $254.5, $256.14, $251.35
10/22/2019, $255.58, 4625095, $254.32, $258.33, $250.85
10/21/2019, $253.5, 5108101, $258.33, $259.5, $250.18
10/18/2019, $256.95, 5753666, $260.7, $262.8, $255.1
10/17/2019, $261.97, 4779043, $262.5, $264.78, $260.17
10/16/2019, $259.75, 6704303, $257.39, $262.1, $256.92
10/15/2019, $257.89, 6479456, $257.7, $260, $254.12
10/14/2019, $256.96, 10226860, $247.9, $258.55, $247.13
10/11/2019, $247.89, 8488159, $247.15, $251.08, $246.81
10/10/2019, $244.74, 6313417, $245.28, $249.28, $241.58
10/09/2019, $244.53, 6935033, $241.32, $247.295, $240.65
10/08/2019, $240.05, 8702338, $235.87, $243.94, $234.5
10/07/2019, $237.72, 8086957, $229.8, $238.56, $228.55
10/04/2019, $231.43, 8021180, $231.61, $234.78, $228.07
10/03/2019, $233.03, 15137760, $231.86, $234.48, $224.28
10/02/2019, $243.13, 6256548, $243.29, $244.65, $239.43
10/01/2019, $244.69, 6196290, $241.5, $245.95, $239.13
09/30/2019, $240.87, 5946161, $243, $243.98, $236.1111
09/27/2019, $242.13, 11123180, $242.2, $248.71, $238.73
09/26/2019, $242.56, 12078790, $230.66, $243.31, $227.4
09/25/2019, $228.7, 9444286, $224.56, $228.98, $218.36
09/24/2019, $223.21, 12941110, $241.52, $241.99, $222.61
09/23/2019, $241.23, 4391630, $240, $245.1794, $239.22
09/20/2019, $240.62, 6506264, $246.49, $246.946, $238.16
09/19/2019, $246.6, 4883135, $246, $247.94, $244.84
09/18/2019, $243.49, 4228103, $245, $248.1685, $242.37
09/17/2019, $244.79, 3946909, $242.47, $245.6, $240.37
09/16/2019, $242.81, 4728096, $246, $247.43, $241.17
09/13/2019, $245.2, 5313145, $246.96, $248.45, $244.865
09/12/2019, $245.87, 8581210, $247.7, $253.5, $244.4
09/11/2019, $247.1, 10042780, $237.38, $248.1741, $236
09/10/2019, $235.54, 4883714, $230.8, $235.54, $228.94
09/09/2019, $231.79, 4802669, $230, $233.76, $229.23
09/06/2019, $227.45, 4189372, $227.2, $229.64, $225.17
09/05/2019, $229.58, 7403322, $222.5, $229.8, $220.85
09/04/2019, $220.68, 5768696, $226.89, $228.46, $219.205
09/03/2019, $225.01, 5360546, $224.08, $228.95, $223.16
08/30/2019, $225.61, 9327775, $229.15, $232.44, $224.213
08/29/2019, $221.71, 5183104, $219, $223.4, $218
08/28/2019, $215.59, 3238625, $213.69, $217.25, $212.31
08/27/2019, $214.08, 5420727, $215.74, $218.8, $212.03
08/26/2019, $215, 5054414, $213.6, $215.02, $211.54
08/23/2019, $211.4, 8559704, $219.97, $221.17, $211
08/22/2019, $222.15, 6564964, $222.8, $225.4, $218.22
08/21/2019, $220.83, 7799744, $222.01, $223.22, $217.6
08/20/2019, $225.86, 4170527, $227.62, $229.09, $224.54
08/19/2019, $226.83, 5311748, $224.21, $227.83, $221.7
08/16/2019, $219.94, 5207376, $216.66, $222.24, $216.02
08/15/2019, $215.64, 8231952, $220.86, $221.56, $211.55
